t0,t1,expected_portfolio_return x1000,realized_portfolio_return x1000,objective,is_robust,n_assets,sum_w
2023-02-21,2023-02-28,266,-32,0.14297376394912426,0,10,1.0
2023-02-28,2023-03-07,237,4,0.191496273260091,0,10,1.0
2023-03-07,2023-03-14,677,-7,0.5853190637550413,0,10,1.0
2023-03-14,2023-03-21,1081,41,0.9896776012477937,0,10,1.0
2023-03-21,2023-03-28,405,-6,0.36604686006451453,0,10,1.0
2023-03-28,2023-04-04,542,29,0.47112367540754896,0,10,1.0
2023-04-04,2023-04-12,1179,17,1.0498749335935245,0,10,1.0
2023-04-12,2023-04-19,314,-12,0.22057092907795361,0,10,1.0
2023-04-19,2023-04-26,129,0,0.09773121878220209,0,10,1.0
2023-04-26,2023-05-03,449,19,0.32136970058855546,0,10,1.0
2023-05-03,2023-05-10,271,-11,0.19991376868637367,0,10,1.0
2023-05-10,2023-05-17,309,12,0.21675260930883952,0,10,1.0
2023-05-17,2023-05-24,82,-1,0.026121238322396864,0,10,1.0
2023-05-24,2023-06-01,171,13,0.12750065182276452,0,10,1.0
2023-06-01,2023-06-08,150,5,0.09385559752880906,0,10,1.0
2023-06-08,2023-06-15,29,0,0.015686630971330603,0,10,1.0
2023-06-15,2023-06-23,295,7,0.2240063446614235,0,10,1.0
2023-06-23,2023-06-30,381,-12,0.2901526658624894,0,10,1.0
2023-06-30,2023-07-10,120,-4,0.07966731207561943,0,10,1.0
2023-07-10,2023-07-17,210,73,0.08083805111104601,0,10,1.0
2023-07-17,2023-07-24,1037,-7,0.529196449694691,1,10,1.0
2023-07-24,2023-07-31,356,4,0.1136348476071001,1,10,1.0
2023-07-31,2023-08-07,-7,0,-0.08066991604189439,1,10,1.0
2023-08-07,2023-08-14,86,-7,-0.01722768844174806,1,10,1.0
2023-08-14,2023-08-21,580,13,0.023932950795922156,1,10,1.0
2023-08-21,2023-08-28,269,12,0.10294795559526355,1,10,1.0
2023-08-28,2023-09-05,789,4,0.22857220901591918,1,10,1.0
2023-09-05,2023-09-12,79,2,0.008275284764054917,1,10,1.0
2023-09-12,2023-09-19,-57,-1,-0.10756677922648257,1,10,1.0
2023-09-19,2023-09-26,872,-27,0.37758260481060346,1,10,1.0
2023-09-26,2023-10-03,-15,0,-0.058890067551810595,1,10,1.0
2023-10-03,2023-10-10,183,4,0.018991764124765484,1,10,0.9999999999999999
2023-10-10,2023-10-17,-127,-3,-0.1866710067960224,1,10,1.0
2023-10-17,2023-10-24,620,10,0.2472536978531108,1,10,1.0
2023-10-24,2023-10-31,48,1,-0.014069019134187937,1,10,1.0
2023-10-31,2023-11-07,599,1,0.21252555180778032,1,10,1.0
2023-11-07,2023-11-14,606,2,0.18804808532755862,1,10,1.0
2023-11-14,2023-11-21,425,15,0.19375933434720707,1,10,1.0
2023-11-21,2023-11-29,60,4,-0.002072734055488383,1,10,1.0
2023-11-29,2023-12-06,256,-7,0.041356354434399015,1,10,1.0
2023-12-06,2023-12-13,541,5,0.30820408445744085,1,10,1.0
2023-12-13,2023-12-20,529,5,0.029120040803469128,1,10,1.0
2023-12-20,2023-12-28,67,0,-0.02797935792452662,1,10,1.0
2023-12-28,2024-01-05,1599,-31,0.8799251472951514,1,10,1.0
2024-01-05,2024-01-12,49,4,-0.01947978382458111,1,10,1.0
2024-01-12,2024-01-22,2,-1,-0.08366965682023747,1,10,1.0
2024-01-22,2024-01-29,445,7,0.08767040959618042,1,10,1.0
2024-01-29,2024-02-05,-50,-1,-0.1158543354107178,1,10,1.0
2024-02-05,2024-02-12,232,-9,0.003115585247529623,1,10,0.9999999999999998
2024-02-12,2024-02-20,-36,2,-0.10316147350744408,1,10,0.9999999999999999
2024-02-20,2024-02-27,0,0,-0.06349592641513373,1,10,1.0
2024-02-27,2024-03-05,312,12,0.04127569436498855,1,10,1.0
2024-03-05,2024-03-12,634,3,0.29882066929249973,1,10,1.0
2024-03-12,2024-03-19,81,0,-0.08123492169324785,1,10,1.0
2024-03-19,2024-03-26,502,9,0.04278312583085058,1,10,1.0
2024-03-26,2024-04-03,-16,0,-0.06897289965396422,1,10,1.0
2024-04-03,2024-04-10,68,-7,-0.03362188097357113,1,10,1.0
2024-04-10,2024-04-17,481,12,0.13273141711551453,1,10,1.0
2024-04-17,2024-04-24,700,5,0.23721912279864796,1,10,1.0
2024-04-24,2024-05-01,261,6,0.08420437321138328,1,10,1.0
2024-05-01,2024-05-08,946,17,0.4223070744308748,1,10,1.0
2024-05-08,2024-05-15,94,3,0.028327837297095215,1,10,1.0
2024-05-15,2024-05-22,970,53,0.16459005062436693,1,10,1.0
2024-05-22,2024-05-30,24,0,-0.0323728010395531,1,10,1.0
2024-05-30,2024-06-06,615,20,0.21564960861027666,1,10,1.0
2024-06-06,2024-06-13,196,11,0.03924625907194853,1,10,1.0
2024-06-13,2024-06-21,867,-5,0.4457876574361187,1,10,1.0
2024-06-21,2024-06-28,-3,0,-0.055798523455292494,1,10,1.0
2024-06-28,2024-07-08,172,8,0.033136273723014247,1,10,1.0
2024-07-08,2024-07-15,38,9,-0.06586365009662716,1,10,1.0
2024-07-15,2024-07-22,-35,-2,-0.09125092788699551,1,10,1.0
2024-07-22,2024-07-29,14,1,-0.05372902342974699,1,10,0.9999999999999999
2024-07-29,2024-08-05,305,0,0.08207452563470384,1,10,1.0
2024-08-05,2024-08-12,34,0,-0.01706161289813495,1,10,1.0
2024-08-12,2024-08-19,394,12,0.15282369617469593,1,10,1.0
2024-08-19,2024-08-26,1063,-1,0.6125793508521203,1,10,1.0
2024-08-26,2024-09-03,-56,0,-0.10192438877559463,1,10,0.9999999999999999
2024-09-03,2024-09-10,330,5,0.09913897983370626,1,10,1.0
2024-09-10,2024-09-17,10,2,-0.03724080662842365,1,10,1.0
2024-09-17,2024-09-24,490,24,0.0901385006651077,1,10,1.0
2024-09-24,2024-10-01,1246,16,0.5530579579458301,1,10,0.9999999999999999
2024-10-01,2024-10-08,48,-6,-0.010766711409954093,1,10,1.0
2024-10-08,2024-10-15,247,11,-0.04547661449873311,1,10,1.0
2024-10-15,2024-10-22,76,3,-0.04269534239687828,1,10,1.0
2024-10-22,2024-10-29,1295,18,0.2713968320636728,1,10,1.0
2024-10-29,2024-11-05,1226,-37,0.3198786333829413,1,10,1.0
2024-11-05,2024-11-12,98,-1,0.013194997983894138,1,10,1.0
2024-11-12,2024-11-19,173,6,0.04178738053205645,1,10,1.0
2024-11-19,2024-11-26,43,1,-0.016583684806392923,1,10,0.9999999999999999
2024-11-26,2024-12-04,24,3,-0.03990143048261917,1,10,1.0
2024-12-04,2024-12-11,640,-21,0.23158541983528724,1,10,1.0
2024-12-11,2024-12-18,-23,-5,-0.08424822282656198,1,10,0.9999999999999999
2024-12-18,2024-12-26,-34,0,-0.09411470638489047,1,10,1.0
2024-12-26,2025-01-03,35,3,-0.037900870539088895,1,10,1.0
2025-01-03,2025-01-13,112,-5,-0.051182130116417826,1,10,0.9999999999999999
2025-01-13,2025-01-21,-1,7,-0.07270978034899724,1,10,1.0
2025-01-21,2025-01-28,15,4,-0.06573116013300506,1,10,0.9999999999999999
2025-01-28,2025-02-04,645,14,0.3739822266087936,1,10,1.0
2025-02-04,2025-02-11,8,0,-0.04624030440355924,1,10,1.0
2025-02-11,2025-02-19,55,0,-0.0007180865748063211,1,10,0.9999999999999999
2025-02-19,2025-02-26,43,4,-0.0075779367235928805,1,10,1.0
2025-02-26,2025-03-05,-6,4,-0.06141274943385265,1,10,1.0
2025-03-05,2025-03-12,-92,0,-0.13664920918268597,1,10,1.0
2025-03-12,2025-03-19,749,17,0.3443532553432073,1,10,1.0
2025-03-19,2025-03-26,547,-18,0.20329191688151269,1,10,1.0
2025-03-26,2025-04-02,-30,3,-0.07901013009569904,1,10,1.0
2025-04-02,2025-04-09,400,-102,-0.00368318129408092,1,10,1.0
2025-04-09,2025-04-16,36,2,-0.019767471978065592,1,10,1.0
2025-04-16,2025-04-24,1424,26,0.7416655762891377,1,10,1.0
2025-04-24,2025-05-01,73,1,0.008245736526705166,1,10,1.0
2025-05-01,2025-05-08,1147,-14,0.31308407201417904,1,10,1.0
2025-05-08,2025-05-15,741,-11,0.346900746709462,1,10,1.0
2025-05-15,2025-05-22,591,34,0.10299927439740711,1,10,1.0
2025-05-22,2025-05-30,29,0,-0.04514263486693334,1,10,1.0
2025-05-30,2025-06-06,654,-11,0.14684487400566187,1,10,1.0
2025-06-06,2025-06-13,-14,1,-0.07138551629206095,1,10,1.0
2025-06-13,2025-06-23,294,7,0.07653114145906668,1,10,1.0
2025-06-23,2025-06-30,-35,1,-0.08450649508780153,1,10,1.0
2025-06-30,2025-07-08,592,-24,0.224663635565332,1,10,1.0
2025-07-08,2025-07-15,571,20,0.05064968695784877,1,10,1.0
2025-07-15,2025-07-22,12,2,-0.04709770954417155,1,10,0.9999999999999999
2025-07-22,2025-07-29,60,-1,-0.005649070831400746,1,10,1.0
2025-07-29,2025-08-05,31,4,-0.012097220384462072,1,10,1.0
2025-08-05,2025-08-12,47,0,0.0020804765812269216,1,10,1.0
2025-08-12,2025-08-19,-8,-5,-0.08088131854290519,1,10,1.0
2025-08-19,2025-08-26,1509,5,0.5398734727823412,1,10,1.0
2025-08-26,2025-09-03,1451,32,0.4325303413977852,1,10,1.0
2025-09-03,2025-09-10,389,28,0.07154666647727911,1,10,1.0
2025-09-10,2025-09-17,232,-2,-0.04289766422717013,1,10,1.0
2025-09-17,2025-09-24,114,1,0.019542916087087706,1,10,0.9999999999999999
2025-09-24,2025-10-01,-35,7,-0.10621449863307793,1,10,1.0
2025-10-01,2025-10-08,53,2,0.004986270736055917,1,10,1.0
2025-10-08,2025-10-15,-1,5,-0.049801185916710275,1,10,1.0
2025-10-15,2025-10-22,78,-7,0.005445150277283407,1,10,0.9999999999999999
2025-10-22,2025-10-29,98,0,0.0424321669422782,1,10,0.9999999999999999
2025-10-29,2025-11-05,2547,-11,1.7076169397199505,1,10,1.0
2025-11-05,2025-11-12,183,2,0.003835000863886109,1,10,1.0
2025-11-12,2025-11-19,72,0,-0.025004760887042832,1,10,1.0
2025-11-19,2025-11-26,32,1,-0.019340711122615404,1,10,1.0
